GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED,team,team_id,players_list
Lineups,-203468-1629638-1630168-1630552-1630700-,C. McCollum - N. Alexander-Walker - O. Okongwu - J. Johnson - D. Daniels,30,20,10,0.667,390.606667,382,766,0.499,131,309,0.424,149,188,0.793,99,274,373,256,99.0,82,34,40,156,143,1044,173.0,2,1,506,211,1,1,1,223,1,1,158,1,1,141,1,1,1,1,508,1,1,508,508,1,1,1,1171820,Atlanta Hawks,1610612737,"['C. McCollum', 'N. Alexander-Walker', 'O. Okongwu', 'J. Johnson', 'D. Daniels']"
Lineups,-203468-1629638-1630228-1630552-1631243-,C. McCollum - N. Alexander-Walker - J. Kuminga - J. Johnson - M. Gueye,3,1,2,0.333,5.55,6,11,0.545,2,5,0.4,1,2,0.5,0,4,4,5,0.0,1,1,0,3,2,15,0.0,94,144,410,321,160,129,156,137,122,138,165,197,160,210,262,151,190,102,1,127,78,1,356,160,142,211,16650,Atlanta Hawks,1610612737,"['C. McCollum', 'N. Alexander-Walker', 'J. Kuminga', 'J. Johnson', 'M. Gueye']"
Lineups,-1629216-1630168-1630552-1630557-1642258-,G. Vincent - O. Okongwu - J. Johnson - C. Kispert - Z. Risacher,1,1,0,1.0,5.55,6,14,0.429,3,10,0.3,0,0,0.0,2,4,6,4,0.0,0,2,0,0,1,15,1.0,232,144,1,1,160,129,126,260,87,67,232,264,280,264,94,151,139,125,1,254,34,1,1,221,142,180,16650,Atlanta Hawks,1610612737,"['G. Vincent', 'O. Okongwu', 'J. Johnson', 'C. Kispert', 'Z. Risacher']"
Lineups,-203468-1629111-1630552-1630557-1630700-,C. McCollum - J. Landale - J. Johnson - C. Kispert - D. Daniels,5,3,2,0.6,5.483333,5,13,0.385,0,3,0.0,0,0,0.0,2,6,8,3,1.0,1,0,1,4,0,10,-5.0,51,49,410,239,162,153,141,305,295,205,295,264,280,264,94,95,101,158,204,127,173,334,391,336,192,424,16450,Atlanta Hawks,1610612737,"['C. McCollum', 'J. Landale', 'J. Johnson', 'C. Kispert', 'D. Daniels']"
Lineups,-203468-1628379-1629638-1630168-1630552-,C. McCollum - L. Kennard - N. Alexander-Walker - O. Okongwu - J. Johnson,4,3,1,0.75,5.47,5,10,0.5,1,5,0.2,0,0,0.0,0,4,4,3,2.0,1,1,0,1,3,11,-2.0,72,49,183,194,163,153,164,162,172,138,272,264,280,264,262,151,190,158,330,127,78,1,136,103,179,308,16410,Atlanta Hawks,1610612737,"['C. McCollum', 'L. Kennard', 'N. Alexander-Walker', 'O. Okongwu', 'J. Johnson']"
Lineups,-1629216-1629638-1630168-1630552-1642258-,G. Vincent - N. Alexander-Walker - O. Okongwu - J. Johnson - Z. Risacher,3,3,0,1.0,5.4,4,13,0.308,2,9,0.222,2,3,0.667,4,7,11,2,1.0,1,2,0,3,4,12,5.0,94,49,1,1,164,178,141,373,122,81,266,126,125,176,37,77,63,200,204,127,34,1,356,79,171,74,16200,Atlanta Hawks,1610612737,"['G. Vincent', 'N. Alexander-Walker', 'O. Okongwu', 'J. Johnson', 'Z. Risacher']"
Lineups,-203468-1628379-1629638-1631243-1642854-,C. McCollum - L. Kennard - N. Alexander-Walker - M. Gueye - A. Newell,1,0,1,0.0,5.3,1,14,0.071,0,5,0.0,0,0,0.0,4,5,9,0,2.0,0,1,2,0,1,2,-8.0,232,340,183,340,165,331,126,420,295,138,295,264,280,264,37,120,85,379,330,254,78,435,1,221,377,462,15900,Atlanta Hawks,1610612737,"['C. McCollum', 'L. Kennard', 'N. Alexander-Walker', 'M. Gueye', 'A. Newell']"
Lineups,-1628379-1630552-1630700-1630811-1631243-,L. Kennard - J. Johnson - D. Daniels - K. Wallace - M. Gueye,2,1,1,0.5,5.266667,7,10,0.7,3,5,0.6,0,0,0.0,1,1,2,4,0.0,1,0,0,1,0,17,3.0,143,144,183,253,166,107,164,63,87,138,63,264,280,264,167,300,272,125,1,127,173,1,136,336,132,113,15800,Atlanta Hawks,1610612737,"['L. Kennard', 'J. Johnson', 'D. Daniels', 'K. Wallace', 'M. Gueye']"
Lineups,-203468-1630168-1630552-1630557-1630700-,C. McCollum - O. Okongwu - J. Johnson - C. Kispert - D. Daniels,3,1,2,0.333,5.216667,5,11,0.455,1,4,0.25,0,0,0.0,2,7,9,3,2.0,1,1,0,1,3,11,4.0,94,144,410,321,167,153,156,244,172,167,240,264,280,264,94,77,85,158,330,127,78,1,136,103,179,87,15650,Atlanta Hawks,1610612737,"['C. McCollum', 'O. Okongwu', 'J. Johnson', 'C. Kispert', 'D. Daniels']"
Lineups,-204001-1628379-1629638-1630249-1630552-,K. Porziņģis - L. Kennard - N. Alexander-Walker - V. Krejčí - J. Johnson,4,3,1,0.75,5.213333,7,10,0.7,4,7,0.571,2,2,1.0,1,5,6,6,2.0,1,0,1,3,2,20,8.0,72,49,183,194,168,107,164,63,64,104,71,126,160,1,167,120,139,84,330,127,173,334,356,160,105,37,15640,Atlanta Hawks,1610612737,"['K. Porziņģis', 'L. Kennard', 'N. Alexander-Walker', 'V. Krejčí', 'J. Johnson']"
